n_week	date	acc	fpr	fnr
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
0	220101	1.0000
1	220117	1.0000
